Year,Value
195801,0.3027
195802,0.2158
195803,0.1249
195804,0.1196
195805,0.107
195806,0.0689
195807,0.0706
195808,0.0584
195809,0.0244
195810,0.0452
195811,0.0952
195812,0.1511
195901,0.13
195902,0.0716
195903,0.2087
195904,0.1232
195905,0.031
195906,0.0899
195907,0.0732
195908,0.0576
195909,0.1015
195910,-0.0096
195911,-0.0762
195912,-0.0306
196001,0.0072
196002,0.1936
196003,-0.2014
196004,-0.0923
196005,-0.0802
196006,0.0818
196007,0.0393
196008,0.0512
196009,0.0684
196010,0.0426
196011,-0.0421
196012,0.2325
196101,0.1237
196102,0.1827
196103,0.1699
196104,0.1379
196105,0.1655
196106,0.153
196107,0.0399
196108,0.0373
196109,0.0007
196110,-0.0306
196111,0.0207
196112,-0.0128
196201,0.1378
196202,0.1743
196203,0.1259
196204,0.0816
196205,0.0638
196206,0.0633
196207,0.0958
196208,0.0605
196209,0.0655
196210,0.084
196211,0.0781
196212,0.0928
196301,0.0424
196302,0.2608
196303,-0.0164
196304,0.0006
196305,0.0172
196306,0.056
196307,0.1442
196308,0.163
196309,0.1682
196310,0.2196
196311,0.1998
196312,0.0852
196401,0.0537
196402,-0.1001
196403,-0.1364
196404,-0.1797
196405,-0.0931
196406,-0.0869
196407,-0.1053
196408,-0.1617
196409,-0.2038
196410,-0.2629
196411,-0.1974
196412,-0.2593
196501,-0.0657
196502,-0.1923
196503,-0.0951
196504,-0.1824
196505,-0.074
196506,-0.0368
196507,-0.0789
196508,-0.0415
196509,-0.0439
196510,0.0265
196511,-0.0853
196512,-0.0074
196601,-0.0412
196602,-0.0329
196603,0.0025
196604,-0.0858
196605,-0.0301
196606,0.0642
196607,0.0721
196608,0.024
196609,0.0315
196610,-0.054
196611,-0.0412
196612,-0.1191
196701,-0.1021
196702,-0.161
196703,0.0082
196704,0.0109
196705,0.1289
196706,-0.0241
196707,-0.0118
196708,-0.0003
196709,-0.0267
196710,0.134
196711,-0.0171
196712,-0.0353
196801,-0.1824
196802,-0.1228
196803,0.1551
196804,-0.0654
196805,-0.0765
196806,-0.0109
196807,-0.0147
196808,-0.0088
196809,-0.005
196810,0.0516
196811,0.0205
196812,-0.0378
196901,-0.1242
196902,-0.0986
196903,0.1279
196904,0.199
196905,0.1805
196906,0.0812
196907,0.0988
196908,0.1009
196909,0.0896
196910,0.0761
196911,0.195
196912,0.2513
197001,0.1273
197002,0.2412
197003,0.0387
197004,0.137
197005,0.0465
197006,0.0355
197007,-0.0156
197008,-0.0135
197009,0.0138
197010,-0.0313
197011,0.0289
197012,-0.0897
197101,0.0022
197102,-0.2079
197103,-0.1347
197104,-0.124
197105,-0.0851
197106,-0.1179
197107,-0.0567
197108,-0.0625
197109,-0.0382
197110,-0.0709
197111,0.0416
197112,-0.0144
197201,-0.2363
197202,-0.1577
197203,0.0077
197204,0.0409
197205,0.019
197206,0.0816
197207,0.0688
197208,0.0911
197209,0.0259
197210,0.0934
197211,0.0856
197212,0.2583
197301,0.2636
197302,0.3767
197303,0.336
197304,0.2556
197305,0.22
197306,0.2024
197307,0.1214
197308,0.0825
197309,0.0613
197310,0.0489
197311,0.0269
197312,0.0326
197401,-0.1923
197402,-0.2503
197403,-0.0454
197404,-0.0373
197405,-0.0193
197406,-0.0332
197407,0.0237
197408,0.0179
197409,-0.0374
197410,-0.0788
197411,-0.0617
197412,-0.093
197501,0.1252
197502,0.0374
197503,0.1153
197504,0.0837
197505,0.0741
197506,0.0401
197507,0.0112
197508,-0.062
197509,0.0217
197510,-0.1187
197511,-0.139
197512,-0.0839
197601,-0.0127
197602,-0.1147
197603,-0.2334
